normalized_name,display_name_variants,variant_count,occurrence_count,recipe_count,dominant_kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,nutrition_source,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,primary_ingredient_hits,quantity_examples,category_examples,recipe_examples,note_examples
sale,Sale (14884) | Sale. (1),2,14885,14455,ingredient,unmatched,,,,,,,,0,1 Pizzico (1130) | 1 Presa (191) | 1 Cucchiaino (126) | Poco (111) | 1/2 Cucchiaino (65),Antipasto | Bevande | Carne | Contorno | Dessert,A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | A Tutto Tonno | Abaloni Alla Californiana,Luogo: Liguria. Luogo: Sanremo. Luogo: Imperia. Preparazione: 150 minuti. | Luogo: Sicilia. | Preparazione: 40 minuti. Calorie: 309.
pepe,Pepe (7892),1,7892,7800,ingredient,unmatched,,,,,,,,3,1 Pizzico (238) | 1 Macinata (97) | Poco (37) | Abbondante (26) | Alcuni Grani (18),Antipasto | Bevande | Carne | Contorno | Dessert,A Tutto Tonno | Abbacchio A Scottadito | Abbacchio Alla Cacciatora | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4),Luogo: Sicilia. | Preparazione: 40 minuti. Calorie: 157. | Luogo: Liguria. Luogo: La Spezia. Preparazione: 20 minuti.
olio d oliva,Olio D'oliva (7605),1,7605,7524,ingredient,alias,Olio extravergine,olio d oliva,local-seed,884,0,100,0,15,2 Cucchiai (689) | 4 Cucchiai (567) | 3 Cucchiai (526) | 1 Cucchiaio (319) | 1/2 Bicchiere (255),Antipasto | Bevande | Carne | Contorno | Dessert,A Tutto Tonno | Abbacchio A Scottadito | Abbacchio A Scottadito (2) | Abbacchio Alla Cacciatora (2) | Abbacchio Alla Cacciatora (3),Luogo: Piemonte. Luogo: Verbano-Cusio-Ossola. Luogo: Biella. Luogo: Asti. Luogo: Vercelli. Preparazione: 30 minuti. | Luogo: Sicilia. | Preparazione: 40 minuti. Calorie: 309.
burro,Burro (7489),1,7489,7185,ingredient,exact,Burro,,local-seed,717,0.9,81.1,0.1,193,50 G (1096) | 30 G (731) | 100 G (642) | 40 G (519) | 1 Noce (375),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio Con Asparagi | Abbacchio E Carciofi | Acciughe Al Forno | Agnello Agli Champignon | Agnello Ai Funghi,Preparazione: 20 minuti. Cottura: 15 minuti. | Luogo: Toscana. | Luogo: Valtellina.
zucchero,Zucchero (4595),1,4595,4372,ingredient,unmatched,,,,,,,,17,100 G (449) | 150 G (320) | 200 G (305) | 1 Cucchiaio (244) | 1 Cucchiaino (235),Antipasto | Bevande | Carne | Contorno | Dessert,A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Abat-jour | Abbeveraggio,Preparazione: 60 minuti. | Luogo: India. | Luogo: Germania.
aglio,Aglio (4533),1,4533,4508,ingredient,unmatched,,,,,,,,69,1 Spicchio (1997) | 2 Spicchi (1047) | 3 Spicchi (244) | 1/2 Spicchio (126) | 4 Spicchi (108),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio A Scottadito (2) | Abbacchio Alla Cacciatora | Abbacchio Alla Cacciatora (2) | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4),Luogo: Piemonte. Luogo: Verbano-Cusio-Ossola. Luogo: Biella. Luogo: Asti. Luogo: Vercelli. Preparazione: 30 minuti. | Luogo: Liguria. Luogo: Sanremo. Luogo: Imperia. Preparazione: 150 minuti. | Preparazione: 40 minuti. Calorie: 309.
farina,Farina (3907),1,3907,3767,ingredient,unmatched,,,,,,,,69,1 Cucchiaio (273) | 200 G (240) | 2 Cucchiai (188) | 250 G (183) | 500 G (177),Antipasto | Bevande | Carne | Contorno | Dessert,A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4),Luogo: Sicilia. | Preparazione: 40 minuti. Calorie: 157. | Luogo: Giamaica.
uova,Uova (3301),1,3301,3258,ingredient,exact,Uova,,local-seed,143,12.6,9.5,1.1,492,2 (1267) | 3 (677) | 4 (662) | 6 (262) | 5 (184),Antipasto | Bevande | Carne | Contorno | Dessert,Abaloni Alla Californiana | Abbacchio Dorato | Abbacchio E Carciofi | Abbuott | Acciughe Alla Siciliana,Luogo: Sicilia. | Luogo: Toscana. Luogo: Grosseto. Luogo: Arezzo. Preparazione: 50 minuti | Luogo: Toscana.
prezzemolo,Prezzemolo (2828),1,2828,2809,ingredient,unmatched,,,,,,,,39,1 Ciuffo (405) | 1 Mazzetto (214) | 1 Manciata (73) | 1 Ciuffetto (50) | 1 Cucchiaio (48),Antipasto | Bevande | Carne | Contorno | Dessert,Abbacchio Brodettato | Abbraccio Di Mezze Maniche | Abbuott | Abbuticchi | Acciughe Al Forno,Luogo: Liguria. Luogo: Sanremo. Luogo: Imperia. Preparazione: 150 minuti. | Luogo: Sicilia. Luogo: Palermo. Luogo: Trapani. | Luogo: Sicilia.
olio d oliva extra vergine,Olio D'oliva Extra-vergine (2788) | Olio D'oliva Extra -vergine (2),2,2790,2750,ingredient,alias,Olio extravergine,olio d oliva extra vergine,local-seed,884,0,100,0,7,2 Cucchiai (224) | 4 Cucchiai (222) | 3 Cucchiai (202) | 10 Cl (85) | 1 Cucchiaio (79),Antipasto | Carne | Contorno | Dessert | Pesce,Abbacchio Alla Cacciatora | Abbuott | Acciughe Aceto E Olio | Acciughe Al Forno | Acciughe Al Limone (5),Luogo: Liguria. Luogo: Sanremo. Luogo: Imperia. Preparazione: 150 minuti. | Preparazione: 40 minuti. Calorie: 157. | Luogo: Sicilia.
