display_name,normalized_name,occurrence_count,recipe_count,kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,quantity_examples,recipe_examples
Sale,sale,14884,14455,ingredient,unmatched,,,1 Pizzico (1130) | 1 Presa (191) | 1 Cucchiaino (126) | Poco (111) | 1/2 Cucchiaino (65),A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | A Tutto Tonno | Abaloni Alla Californiana
Pepe,pepe,7892,7800,ingredient,unmatched,,,1 Pizzico (238) | 1 Macinata (97) | Poco (37) | Abbondante (26) | Alcuni Grani (18),A Tutto Tonno | Abbacchio A Scottadito | Abbacchio Alla Cacciatora | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4)
Olio D'oliva,olio d oliva,7605,7524,ingredient,alias,Olio extravergine,olio d oliva,2 Cucchiai (689) | 4 Cucchiai (567) | 3 Cucchiai (526) | 1 Cucchiaio (319) | 1/2 Bicchiere (255),A Tutto Tonno | Abbacchio A Scottadito | Abbacchio A Scottadito (2) | Abbacchio Alla Cacciatora (2) | Abbacchio Alla Cacciatora (3)
Burro,burro,7489,7185,ingredient,exact,Burro,,50 G (1096) | 30 G (731) | 100 G (642) | 40 G (519) | 1 Noce (375),Abbacchio Con Asparagi | Abbacchio E Carciofi | Acciughe Al Forno | Agnello Agli Champignon | Agnello Ai Funghi
Zucchero,zucchero,4595,4372,ingredient,unmatched,,,100 G (449) | 150 G (320) | 200 G (305) | 1 Cucchiaio (244) | 1 Cucchiaino (235),A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Abat-jour | Abbeveraggio
Aglio,aglio,4533,4508,ingredient,unmatched,,,1 Spicchio (1997) | 2 Spicchi (1047) | 3 Spicchi (244) | 1/2 Spicchio (126) | 4 Spicchi (108),Abbacchio A Scottadito (2) | Abbacchio Alla Cacciatora | Abbacchio Alla Cacciatora (2) | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4)
Farina,farina,3907,3767,ingredient,unmatched,,,1 Cucchiaio (273) | 200 G (240) | 2 Cucchiai (188) | 250 G (183) | 500 G (177),A Pizza Ca' Pummarola Ncopp' | A Pizza Ca' Pummarola Ncopp' (2) | A Pizza Ca' Pummarola Ncopp' (3) | Abbacchio Alla Cacciatora (3) | Abbacchio Alla Cacciatora (4)
Uova,uova,3301,3258,ingredient,exact,Uova,,2 (1267) | 3 (677) | 4 (662) | 6 (262) | 5 (184),Abaloni Alla Californiana | Abbacchio Dorato | Abbacchio E Carciofi | Abbuott | Acciughe Alla Siciliana
Prezzemolo,prezzemolo,2828,2809,ingredient,unmatched,,,1 Ciuffo (405) | 1 Mazzetto (214) | 1 Manciata (73) | 1 Ciuffetto (50) | 1 Cucchiaio (48),Abbacchio Brodettato | Abbraccio Di Mezze Maniche | Abbuott | Abbuticchi | Acciughe Al Forno
Olio D'oliva Extra-vergine,olio d oliva extra vergine,2788,2748,ingredient,alias,Olio extravergine,olio d oliva extra vergine,2 Cucchiai (224) | 4 Cucchiai (222) | 3 Cucchiai (202) | 10 Cl (85) | 1 Cucchiaio (79),Abbacchio Alla Cacciatora | Abbuott | Acciughe Aceto E Olio | Acciughe Al Forno | Acciughe Al Limone (5)
